genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
infinity_D07-NF-R1_maxbin.016.fa,85_2,0.010000000000000009,average,ANImf,85
infinity_D09-NF-R1_maxbin.039.fa,85_2,0.010000000000000009,average,ANImf,85
nanopore_D07-NF-R1_maxbin.010.fa,85_2,0.010000000000000009,average,ANImf,85
nanopore_D09-NF-R1_maxbin.020.fa,85_2,0.010000000000000009,average,ANImf,85
infinity_D08-NF-R1_bin.70.fa,85_3,0.010000000000000009,average,ANImf,85
nanopore_D08-NF-R1_bin.6.fa,85_3,0.010000000000000009,average,ANImf,85
infinity_D06-NF-R1_20.fa,85_4,0.010000000000000009,average,ANImf,85
nanopore_D06-NF-R1_96.fa,85_4,0.010000000000000009,average,ANImf,85
infinity_D04-NF-R1_bin.129_sub.fa,85_5,0.010000000000000009,average,ANImf,85
nanopore_D04-NF-R1_bin.209.fa,85_5,0.010000000000000009,average,ANImf,85
infinity_D03-NF-R1_83.fa,85_6,0.010000000000000009,average,ANImf,85
infinity_D05-NF-R1_bin.91.fa,85_7,0.010000000000000009,average,ANImf,85
nanopore_D04-NF-R1_29_sub.fa,86_0,0.010000000000000009,average,ANImf,86
infinity_D05-NF-R1_maxbin.093_sub.fa,87_0,0.010000000000000009,average,ANImf,87
infinity_D10-NF-R1_bin.144.fa,88_0,0.010000000000000009,average,ANImf,88
infinity_D04-NF-R1_99_sub.fa,89_0,0.010000000000000009,average,ANImf,89
infinity_D04-NF-R1_11.fa,90_0,0.010000000000000009,average,ANImf,90
infinity_D04-NF-R1_20.fa,91_0,0.010000000000000009,average,ANImf,91
infinity_D08-NF-R1_37.fa,92_1,0.010000000000000009,average,ANImf,92
nanopore_D08-NF-R1_129.fa,92_1,0.010000000000000009,average,ANImf,92
infinity_D05-NF-R1_maxbin.061.fa,92_2,0.010000000000000009,average,ANImf,92
nanopore_D05-NF-R1_maxbin.061_sub.fa,92_2,0.010000000000000009,average,ANImf,92
infinity_D01-NF-R1_41.fa,92_3,0.010000000000000009,average,ANImf,92
infinity_D02-NF-R2_bin.246.fa,92_3,0.010000000000000009,average,ANImf,92
infinity_D07-NF-R1_27.fa,92_3,0.010000000000000009,average,ANImf,92
infinity_D09-NF-R1_141.fa,92_3,0.010000000000000009,average,ANImf,92
nanopore_D01-NF-R1_104.fa,92_3,0.010000000000000009,average,ANImf,92
nanopore_D07-NF-R1_86.fa,92_3,0.010000000000000009,average,ANImf,92
nanopore_D09-NF-R1_50.fa,92_3,0.010000000000000009,average,ANImf,92
infinity_D04-NF-R1_maxbin.099_sub.fa,93_1,0.010000000000000009,average,ANImf,93
nanopore_D04-NF-R1_1.fa,93_2,0.010000000000000009,average,ANImf,93
infinity_D05-NF-R1_38.fa,94_1,0.010000000000000009,average,ANImf,94
nanopore_D05-NF-R1_35.fa,94_1,0.010000000000000009,average,ANImf,94
infinity_D04-NF-R1_maxbin.110.fa,94_2,0.010000000000000009,average,ANImf,94
infinity_D01-NF-R1_bin.225.fa,95_0,0.010000000000000009,average,ANImf,95
infinity_D09-NF-R1_102.fa,96_1,0.010000000000000009,average,ANImf,96
nanopore_D09-NF-R1_82.fa,96_1,0.010000000000000009,average,ANImf,96
infinity_D05-NF-R1_maxbin.029.fa,96_2,0.010000000000000009,average,ANImf,96
infinity_D04-NF-R1_59.fa,97_0,0.010000000000000009,average,ANImf,97
infinity_D01-NF-R1_maxbin.060_sub.fa,98_1,0.010000000000000009,average,ANImf,98
infinity_D02-NF-R2_maxbin.065.fa,98_1,0.010000000000000009,average,ANImf,98
nanopore_D01-NF-R1_10.fa,98_1,0.010000000000000009,average,ANImf,98
nanopore_D02-NF-R2_108.fa,98_2,0.010000000000000009,average,ANImf,98
infinity_D07-NF-R1_44.fa,98_3,0.010000000000000009,average,ANImf,98
infinity_D09-NF-R1_maxbin.092.fa,98_4,0.010000000000000009,average,ANImf,98
nanopore_D07-NF-R1_maxbin.062.fa,99_0,0.010000000000000009,average,ANImf,99
infinity_D03-NF-R1_101.fa,100_0,0.010000000000000009,average,ANImf,100
nanopore_D04-NF-R1_91.fa,101_1,0.010000000000000009,average,ANImf,101
nanopore_D07-NF-R1_93.fa,101_2,0.010000000000000009,average,ANImf,101
infinity_D04-NF-R1_bin.380.fa,102_0,0.010000000000000009,average,ANImf,102
infinity_D01-NF-R1_33_sub.fa,103_0,0.010000000000000009,average,ANImf,103
infinity_D05-NF-R1_9.fa,104_1,0.010000000000000009,average,ANImf,104
nanopore_D05-NF-R1_bin.144.fa,104_2,0.010000000000000009,average,ANImf,104
infinity_D10-NF-R1_47.fa,104_3,0.010000000000000009,average,ANImf,104
nanopore_D10-NF-R1_14.fa,105_0,0.010000000000000009,average,ANImf,105
infinity_D01-NF-R1_bin.229.fa,106_0,0.010000000000000009,average,ANImf,106
infinity_D05-NF-R1_bin.140.fa,107_0,0.010000000000000009,average,ANImf,107
infinity_D06-NF-R1_44.fa,108_0,0.010000000000000009,average,ANImf,108
infinity_D08-NF-R1_107_sub.fa,109_0,0.010000000000000009,average,ANImf,109
infinity_D03-NF-R1_47.fa,110_0,0.010000000000000009,average,ANImf,110
infinity_D07-NF-R1_bin.169.fa,111_1,0.010000000000000009,average,ANImf,111
infinity_D09-NF-R1_60.fa,111_2,0.010000000000000009,average,ANImf,111
infinity_D05-NF-R1_maxbin.102_sub.fa,112_0,0.010000000000000009,average,ANImf,112
infinity_D01-NF-R1_18.fa,113_1,0.010000000000000009,average,ANImf,113
nanopore_D01-NF-R1_46.fa,113_1,0.010000000000000009,average,ANImf,113
infinity_D06-NF-R1_maxbin.032.fa,113_2,0.010000000000000009,average,ANImf,113
infinity_D08-NF-R1_maxbin.022.fa,113_2,0.010000000000000009,average,ANImf,113
nanopore_D06-NF-R1_maxbin.033.fa,113_2,0.010000000000000009,average,ANImf,113
nanopore_D08-NF-R1_maxbin.020.fa,113_2,0.010000000000000009,average,ANImf,113
infinity_D07-NF-R1_53.fa,113_3,0.010000000000000009,average,ANImf,113
infinity_D09-NF-R1_23.fa,113_3,0.010000000000000009,average,ANImf,113
nanopore_D07-NF-R1_105.fa,113_3,0.010000000000000009,average,ANImf,113
nanopore_D09-NF-R1_bin.71.fa,113_3,0.010000000000000009,average,ANImf,113
infinity_D04-NF-R1_bin.352.fa,113_4,0.010000000000000009,average,ANImf,113
nanopore_D04-NF-R1_118.fa,113_4,0.010000000000000009,average,ANImf,113
infinity_D02-NF-R2_64.fa,113_5,0.010000000000000009,average,ANImf,113
nanopore_D02-NF-R2_120_sub.fa,113_5,0.010000000000000009,average,ANImf,113
infinity_D03-NF-R1_133.fa,113_6,0.010000000000000009,average,ANImf,113
infinity_D01-NF-R1_111.fa,114_0,0.010000000000000009,average,ANImf,114
infinity_D05-NF-R1_27.fa,115_0,0.010000000000000009,average,ANImf,115
infinity_D03-NF-R1_bin.177.fa,116_0,0.010000000000000009,average,ANImf,116
infinity_D04-NF-R1_maxbin.169.fa,117_0,0.010000000000000009,average,ANImf,117
infinity_D06-NF-R1_54_sub.fa,118_1,0.010000000000000009,average,ANImf,118
nanopore_D06-NF-R1_maxbin.049.fa,118_1,0.010000000000000009,average,ANImf,118
infinity_D05-NF-R1_maxbin.036.fa,118_2,0.010000000000000009,average,ANImf,118
nanopore_D05-NF-R1_91_sub.fa,118_3,0.010000000000000009,average,ANImf,118
infinity_D02-NF-R2_15.fa,118_4,0.010000000000000009,average,ANImf,118
nanopore_D02-NF-R2_115.fa,118_4,0.010000000000000009,average,ANImf,118
infinity_D01-NF-R1_bin.212.fa,118_5,0.010000000000000009,average,ANImf,118
nanopore_D01-NF-R1_53.fa,118_5,0.010000000000000009,average,ANImf,118
infinity_D08-NF-R1_25.fa,118_6,0.010000000000000009,average,ANImf,118
nanopore_D08-NF-R1_85.fa,118_6,0.010000000000000009,average,ANImf,118
infinity_D07-NF-R1_maxbin.007.fa,118_7,0.010000000000000009,average,ANImf,118
nanopore_D07-NF-R1_bin.81.fa,118_7,0.010000000000000009,average,ANImf,118
infinity_D09-NF-R1_75.fa,118_8,0.010000000000000009,average,ANImf,118
infinity_D04-NF-R1_maxbin.062.fa,118_9,0.010000000000000009,average,ANImf,118
nanopore_D06-NF-R1_36_sub.fa,118_10,0.010000000000000009,average,ANImf,118
nanopore_D04-NF-R1_bin.266.fa,118_11,0.010000000000000009,average,ANImf,118
infinity_D03-NF-R1_maxbin.031_sub.fa,118_12,0.010000000000000009,average,ANImf,118
infinity_D10-NF-R1_maxbin.039.fa,119_1,0.010000000000000009,average,ANImf,119
nanopore_D08-NF-R1_maxbin.047.fa,119_1,0.010000000000000009,average,ANImf,119
infinity_D07-NF-R1_41.fa,119_2,0.010000000000000009,average,ANImf,119
nanopore_D07-NF-R1_bin.70.fa,119_2,0.010000000000000009,average,ANImf,119
infinity_D01-NF-R1_93.fa,119_3,0.010000000000000009,average,ANImf,119
infinity_D02-NF-R2_42.fa,119_3,0.010000000000000009,average,ANImf,119
nanopore_D01-NF-R1_55.fa,119_3,0.010000000000000009,average,ANImf,119
infinity_D03-NF-R1_106.fa,119_4,0.010000000000000009,average,ANImf,119
nanopore_D09-NF-R1_9.fa,119_5,0.010000000000000009,average,ANImf,119
nanopore_D03-NF-R1_0_sub.fa,120_0,0.010000000000000009,average,ANImf,120
infinity_D04-NF-R1_170.fa,121_1,0.010000000000000009,average,ANImf,121
nanopore_D04-NF-R1_124.fa,121_1,0.010000000000000009,average,ANImf,121
infinity_D01-NF-R1_maxbin.005_sub.fa,122_1,0.010000000000000009,average,ANImf,122
nanopore_D01-NF-R1_30_sub.fa,122_2,0.010000000000000009,average,ANImf,122
infinity_D06-NF-R1_maxbin.003.fa,122_3,0.010000000000000009,average,ANImf,122
nanopore_D06-NF-R1_maxbin.002.fa,122_3,0.010000000000000009,average,ANImf,122
infinity_D07-NF-R1_129.fa,122_4,0.010000000000000009,average,ANImf,122
nanopore_D07-NF-R1_94.fa,122_4,0.010000000000000009,average,ANImf,122
nanopore_D08-NF-R1_maxbin.008.fa,122_5,0.010000000000000009,average,ANImf,122
infinity_D03-NF-R1_maxbin.020.fa,122_6,0.010000000000000009,average,ANImf,122
nanopore_D09-NF-R1_maxbin.001_sub.fa,122_7,0.010000000000000009,average,ANImf,122
infinity_D09-NF-R1_maxbin.002_sub.fa,122_8,0.010000000000000009,average,ANImf,122
infinity_D06-NF-R1_maxbin.004.fa,122_9,0.010000000000000009,average,ANImf,122
nanopore_D03-NF-R1_maxbin.005.fa,122_10,0.010000000000000009,average,ANImf,122
infinity_D05-NF-R1_8.fa,123_1,0.010000000000000009,average,ANImf,123
nanopore_D05-NF-R1_bin.3.fa,123_1,0.010000000000000009,average,ANImf,123
nanopore_D01-NF-R1_bin.61.fa,123_2,0.010000000000000009,average,ANImf,123
nanopore_D06-NF-R1_29_sub.fa,123_3,0.010000000000000009,average,ANImf,123
nanopore_D07-NF-R1_bin.59_sub.fa,123_4,0.010000000000000009,average,ANImf,123
nanopore_D04-NF-R1_bin.113.fa,123_5,0.010000000000000009,average,ANImf,123
nanopore_D03-NF-R1_maxbin.004.fa,123_6,0.010000000000000009,average,ANImf,123
nanopore_D04-NF-R1_bin.189.fa,124_0,0.010000000000000009,average,ANImf,124
infinity_D08-NF-R1_maxbin.004.fa,125_1,0.010000000000000009,average,ANImf,125
nanopore_D08-NF-R1_maxbin.006.fa,125_1,0.010000000000000009,average,ANImf,125
infinity_D04-NF-R1_bin.287.fa,125_2,0.010000000000000009,average,ANImf,125
nanopore_D04-NF-R1_maxbin.004_sub.fa,125_3,0.010000000000000009,average,ANImf,125
infinity_D02-NF-R2_48_sub.fa,125_4,0.010000000000000009,average,ANImf,125
nanopore_D02-NF-R2_bin.93.fa,125_4,0.010000000000000009,average,ANImf,125
infinity_D01-NF-R1_138.fa,125_5,0.010000000000000009,average,ANImf,125
nanopore_D01-NF-R1_1.fa,125_5,0.010000000000000009,average,ANImf,125
nanopore_D06-NF-R1_bin.97.fa,125_6,0.010000000000000009,average,ANImf,125
nanopore_D08-NF-R1_maxbin.004.fa,125_7,0.010000000000000009,average,ANImf,125
infinity_D02-NF-R2_bin.270.fa,125_8,0.010000000000000009,average,ANImf,125
infinity_D09-NF-R1_bin.14.fa,125_9,0.010000000000000009,average,ANImf,125
nanopore_D09-NF-R1_bin.75.fa,125_10,0.010000000000000009,average,ANImf,125
nanopore_D07-NF-R1_40.fa,125_11,0.010000000000000009,average,ANImf,125
infinity_D04-NF-R1_46_sub.fa,126_0,0.010000000000000009,average,ANImf,126
infinity_D05-NF-R1_maxbin.011_sub.fa,127_1,0.010000000000000009,average,ANImf,127
nanopore_D05-NF-R1_33.fa,127_2,0.010000000000000009,average,ANImf,127
nanopore_D04-NF-R1_23_sub.fa,127_3,0.010000000000000009,average,ANImf,127
infinity_D02-NF-R2_5.fa,127_4,0.010000000000000009,average,ANImf,127
infinity_D07-NF-R1_bin.27_sub.fa,127_5,0.010000000000000009,average,ANImf,127
nanopore_D07-NF-R1_bin.88.fa,127_5,0.010000000000000009,average,ANImf,127
infinity_D01-NF-R1_75_sub.fa,127_6,0.010000000000000009,average,ANImf,127
nanopore_D01-NF-R1_102.fa,127_6,0.010000000000000009,average,ANImf,127
nanopore_D08-NF-R1_117.fa,127_7,0.010000000000000009,average,ANImf,127
nanopore_D06-NF-R1_maxbin.037.fa,127_8,0.010000000000000009,average,ANImf,127
infinity_D05-NF-R1_112_sub.fa,127_9,0.010000000000000009,average,ANImf,127
infinity_D03-NF-R1_maxbin.033_sub.fa,128_1,0.010000000000000009,average,ANImf,128
nanopore_D04-NF-R1_bin.308.fa,128_2,0.010000000000000009,average,ANImf,128
nanopore_D07-NF-R1_61_sub.fa,128_3,0.010000000000000009,average,ANImf,128
nanopore_D03-NF-R1_maxbin.018.fa,128_4,0.010000000000000009,average,ANImf,128
nanopore_D02-NF-R2_maxbin.035.fa,128_5,0.010000000000000009,average,ANImf,128
infinity_D07-NF-R1_maxbin.012_sub.fa,129_0,0.010000000000000009,average,ANImf,129
infinity_D06-NF-R1_maxbin.062.fa,130_1,0.010000000000000009,average,ANImf,130
nanopore_D06-NF-R1_bin.26.fa,130_1,0.010000000000000009,average,ANImf,130
infinity_D01-NF-R1_bin.35.fa,130_2,0.010000000000000009,average,ANImf,130
infinity_D05-NF-R1_bin.239.fa,130_2,0.010000000000000009,average,ANImf,130
infinity_D07-NF-R1_bin.19.fa,130_2,0.010000000000000009,average,ANImf,130
nanopore_D05-NF-R1_bin.122.fa,130_2,0.010000000000000009,average,ANImf,130
nanopore_D01-NF-R1_bin.142.fa,130_3,0.010000000000000009,average,ANImf,130
nanopore_D02-NF-R2_37_sub.fa,130_4,0.010000000000000009,average,ANImf,130
nanopore_D09-NF-R1_maxbin.036_sub.fa,131_0,0.010000000000000009,average,ANImf,131
nanopore_D08-NF-R1_maxbin.053_sub.fa,132_0,0.010000000000000009,average,ANImf,132
infinity_D08-NF-R1_maxbin.097_sub.fa,133_0,0.010000000000000009,average,ANImf,133
infinity_D10-NF-R1_maxbin.073_sub.fa,134_0,0.010000000000000009,average,ANImf,134
infinity_D07-NF-R1_maxbin.075_sub.fa,135_0,0.010000000000000009,average,ANImf,135
nanopore_D06-NF-R1_bin.119.fa,136_0,0.010000000000000009,average,ANImf,136
infinity_D04-NF-R1_maxbin.046.fa,137_1,0.010000000000000009,average,ANImf,137
nanopore_D04-NF-R1_maxbin.039_sub.fa,137_1,0.010000000000000009,average,ANImf,137
infinity_D04-NF-R1_145.fa,138_1,0.010000000000000009,average,ANImf,138
nanopore_D04-NF-R1_58.fa,138_1,0.010000000000000009,average,ANImf,138
infinity_D04-NF-R1_127.fa,139_1,0.010000000000000009,average,ANImf,139
nanopore_D04-NF-R1_bin.242.fa,139_1,0.010000000000000009,average,ANImf,139
infinity_D01-NF-R1_bin.41.fa,140_1,0.010000000000000009,average,ANImf,140
nanopore_D01-NF-R1_6.fa,140_1,0.010000000000000009,average,ANImf,140
infinity_D02-NF-R2_bin.194.fa,140_2,0.010000000000000009,average,ANImf,140
nanopore_D02-NF-R2_bin.31.fa,140_3,0.010000000000000009,average,ANImf,140
nanopore_D07-NF-R1_maxbin.032.fa,140_4,0.010000000000000009,average,ANImf,140
nanopore_D04-NF-R1_bin.166.fa,140_5,0.010000000000000009,average,ANImf,140
infinity_D02-NF-R2_maxbin.060_sub.fa,141_0,0.010000000000000009,average,ANImf,141
nanopore_D04-NF-R1_106_sub.fa,142_0,0.010000000000000009,average,ANImf,142
infinity_D04-NF-R1_maxbin.056_sub.fa,143_1,0.010000000000000009,average,ANImf,143
nanopore_D04-NF-R1_bin.151.fa,143_2,0.010000000000000009,average,ANImf,143
infinity_D02-NF-R2_147.fa,144_1,0.010000000000000009,average,ANImf,144
nanopore_D02-NF-R2_maxbin.015.fa,144_1,0.010000000000000009,average,ANImf,144
infinity_D09-NF-R1_136.fa,145_1,0.010000000000000009,average,ANImf,145
nanopore_D09-NF-R1_37.fa,145_1,0.010000000000000009,average,ANImf,145
infinity_D05-NF-R1_70.fa,146_1,0.010000000000000009,average,ANImf,146
infinity_D09-NF-R1_91.fa,146_1,0.010000000000000009,average,ANImf,146
nanopore_D05-NF-R1_14.fa,146_1,0.010000000000000009,average,ANImf,146
nanopore_D09-NF-R1_106.fa,146_1,0.010000000000000009,average,ANImf,146
infinity_D01-NF-R1_121_sub.fa,146_2,0.010000000000000009,average,ANImf,146
infinity_D08-NF-R1_72.fa,146_2,0.010000000000000009,average,ANImf,146
nanopore_D08-NF-R1_114.fa,146_2,0.010000000000000009,average,ANImf,146
infinity_D02-NF-R2_26.fa,146_3,0.010000000000000009,average,ANImf,146
infinity_D03-NF-R1_maxbin.075_sub.fa,147_0,0.010000000000000009,average,ANImf,147
infinity_D03-NF-R1_128_sub.fa,148_0,0.010000000000000009,average,ANImf,148
infinity_D01-NF-R1_bin.23.fa,149_1,0.010000000000000009,average,ANImf,149
nanopore_D01-NF-R1_84_sub.fa,149_1,0.010000000000000009,average,ANImf,149
infinity_D07-NF-R1_maxbin.044.fa,149_2,0.010000000000000009,average,ANImf,149
nanopore_D07-NF-R1_bin.90_sub.fa,149_3,0.010000000000000009,average,ANImf,149
infinity_D08-NF-R1_maxbin.085_sub.fa,149_4,0.010000000000000009,average,ANImf,149
nanopore_D04-NF-R1_bin.250.fa,149_5,0.010000000000000009,average,ANImf,149
nanopore_D02-NF-R2_111_sub.fa,149_6,0.010000000000000009,average,ANImf,149
nanopore_D08-NF-R1_maxbin.066_sub.fa,149_7,0.010000000000000009,average,ANImf,149
infinity_D07-NF-R1_maxbin.043_sub.fa,150_1,0.010000000000000009,average,ANImf,150
nanopore_D07-NF-R1_maxbin.024_sub.fa,150_1,0.010000000000000009,average,ANImf,150
infinity_D02-NF-R2_bin.67.fa,150_2,0.010000000000000009,average,ANImf,150
nanopore_D02-NF-R2_maxbin.047.fa,150_3,0.010000000000000009,average,ANImf,150
infinity_D05-NF-R1_bin.20.fa,150_4,0.010000000000000009,average,ANImf,150
nanopore_D05-NF-R1_67.fa,150_5,0.010000000000000009,average,ANImf,150
infinity_D08-NF-R1_57_sub.fa,150_6,0.010000000000000009,average,ANImf,150
nanopore_D08-NF-R1_bin.167.fa,150_7,0.010000000000000009,average,ANImf,150
infinity_D04-NF-R1_28_sub.fa,150_8,0.010000000000000009,average,ANImf,150
nanopore_D04-NF-R1_bin.332.fa,150_9,0.010000000000000009,average,ANImf,150
infinity_D06-NF-R1_maxbin.042.fa,150_10,0.010000000000000009,average,ANImf,150
nanopore_D06-NF-R1_53.fa,150_11,0.010000000000000009,average,ANImf,150
infinity_D03-NF-R1_bin.180.fa,150_12,0.010000000000000009,average,ANImf,150
infinity_D04-NF-R1_bin.308.fa,151_1,0.010000000000000009,average,ANImf,151
nanopore_D04-NF-R1_bin.105.fa,151_2,0.010000000000000009,average,ANImf,151
infinity_D09-NF-R1_bin.19.fa,151_3,0.010000000000000009,average,ANImf,151
infinity_D01-NF-R1_43_sub.fa,152_1,0.010000000000000009,average,ANImf,152
infinity_D07-NF-R1_bin.23.fa,152_2,0.010000000000000009,average,ANImf,152
infinity_D08-NF-R1_bin.113.fa,153_1,0.010000000000000009,average,ANImf,153
nanopore_D08-NF-R1_113.fa,153_1,0.010000000000000009,average,ANImf,153
infinity_D01-NF-R1_bin.52.fa,153_2,0.010000000000000009,average,ANImf,153
nanopore_D01-NF-R1_bin.13_sub.fa,153_2,0.010000000000000009,average,ANImf,153
infinity_D09-NF-R1_20_sub.fa,153_3,0.010000000000000009,average,ANImf,153
nanopore_D04-NF-R1_52_sub.fa,153_4,0.010000000000000009,average,ANImf,153
infinity_D03-NF-R1_bin.213.fa,154_0,0.010000000000000009,average,ANImf,154
infinity_D08-NF-R1_bin.18.fa,155_0,0.010000000000000009,average,ANImf,155
infinity_D09-NF-R1_94.fa,156_1,0.010000000000000009,average,ANImf,156
nanopore_D09-NF-R1_maxbin.048.fa,156_1,0.010000000000000009,average,ANImf,156
infinity_D06-NF-R1_55.fa,156_2,0.010000000000000009,average,ANImf,156
nanopore_D06-NF-R1_maxbin.057_sub.fa,156_2,0.010000000000000009,average,ANImf,156
infinity_D08-NF-R1_66.fa,157_1,0.010000000000000009,average,ANImf,157
nanopore_D08-NF-R1_124.fa,157_1,0.010000000000000009,average,ANImf,157
infinity_D02-NF-R2_44_sub.fa,157_2,0.010000000000000009,average,ANImf,157
infinity_D03-NF-R1_92.fa,157_2,0.010000000000000009,average,ANImf,157
infinity_D05-NF-R1_55.fa,157_2,0.010000000000000009,average,ANImf,157
infinity_D07-NF-R1_94.fa,157_2,0.010000000000000009,average,ANImf,157
infinity_D10-NF-R1_111.fa,157_2,0.010000000000000009,average,ANImf,157
nanopore_D07-NF-R1_34_sub.fa,157_2,0.010000000000000009,average,ANImf,157
infinity_D01-NF-R1_maxbin.040.fa,157_3,0.010000000000000009,average,ANImf,157
nanopore_D01-NF-R1_29_sub.fa,157_3,0.010000000000000009,average,ANImf,157
infinity_D04-NF-R1_156.fa,157_4,0.010000000000000009,average,ANImf,157
nanopore_D04-NF-R1_89.fa,157_4,0.010000000000000009,average,ANImf,157
nanopore_D05-NF-R1_maxbin.067_sub.fa,157_5,0.010000000000000009,average,ANImf,157
infinity_D06-NF-R1_bin.140.fa,158_1,0.010000000000000009,average,ANImf,158
nanopore_D06-NF-R1_bin.47.fa,158_1,0.010000000000000009,average,ANImf,158
infinity_D01-NF-R1_bin.117.fa,159_1,0.010000000000000009,average,ANImf,159
infinity_D09-NF-R1_maxbin.081_sub.fa,159_2,0.010000000000000009,average,ANImf,159
infinity_D07-NF-R1_bin.99.fa,159_3,0.010000000000000009,average,ANImf,159
infinity_D10-NF-R1_81.fa,159_4,0.010000000000000009,average,ANImf,159
infinity_D02-NF-R2_bin.74.fa,160_0,0.010000000000000009,average,ANImf,160
infinity_D04-NF-R1_bin.193.fa,161_0,0.010000000000000009,average,ANImf,161
infinity_D10-NF-R1_maxbin.023.fa,162_1,0.010000000000000009,average,ANImf,162
nanopore_D10-NF-R1_bin.15.fa,162_1,0.010000000000000009,average,ANImf,162
nanopore_D09-NF-R1_bin.57_sub.fa,162_2,0.010000000000000009,average,ANImf,162
infinity_D05-NF-R1_maxbin.052_sub.fa,163_1,0.010000000000000009,average,ANImf,163
nanopore_D05-NF-R1_maxbin.037_sub.fa,163_2,0.010000000000000009,average,ANImf,163
infinity_D01-NF-R1_bin.21.fa,164_1,0.010000000000000009,average,ANImf,164
infinity_D02-NF-R2_bin.189.fa,164_1,0.010000000000000009,average,ANImf,164
infinity_D05-NF-R1_bin.78.fa,164_1,0.010000000000000009,average,ANImf,164
infinity_D06-NF-R1_bin.127.fa,164_1,0.010000000000000009,average,ANImf,164
infinity_D08-NF-R1_111.fa,164_1,0.010000000000000009,average,ANImf,164
infinity_D10-NF-R1_116_sub.fa,164_1,0.010000000000000009,average,ANImf,164
nanopore_D08-NF-R1_maxbin.042_sub.fa,164_2,0.010000000000000009,average,ANImf,164
nanopore_D06-NF-R1_bin.131.fa,164_3,0.010000000000000009,average,ANImf,164
nanopore_D01-NF-R1_bin.59.fa,164_4,0.010000000000000009,average,ANImf,164
nanopore_D05-NF-R1_bin.84_sub.fa,164_5,0.010000000000000009,average,ANImf,164
nanopore_D06-NF-R1_bin.28.fa,165_0,0.010000000000000009,average,ANImf,165
infinity_D07-NF-R1_80.fa,166_1,0.010000000000000009,average,ANImf,166
nanopore_D07-NF-R1_bin.89.fa,166_1,0.010000000000000009,average,ANImf,166
infinity_D04-NF-R1_94.fa,166_2,0.010000000000000009,average,ANImf,166
infinity_D01-NF-R1_84.fa,166_3,0.010000000000000009,average,ANImf,166
infinity_D01-NF-R1_34_sub.fa,167_1,0.010000000000000009,average,ANImf,167
infinity_D02-NF-R2_bin.13.fa,167_1,0.010000000000000009,average,ANImf,167
nanopore_D01-NF-R1_bin.123.fa,167_1,0.010000000000000009,average,ANImf,167
nanopore_D02-NF-R2_bin.4.fa,167_1,0.010000000000000009,average,ANImf,167
infinity_D07-NF-R1_bin.52.fa,168_1,0.010000000000000009,average,ANImf,168
nanopore_D07-NF-R1_maxbin.059.fa,168_1,0.010000000000000009,average,ANImf,168
infinity_D04-NF-R1_maxbin.045.fa,169_1,0.010000000000000009,average,ANImf,169
nanopore_D04-NF-R1_maxbin.048.fa,169_1,0.010000000000000009,average,ANImf,169
infinity_D01-NF-R1_28.fa,169_2,0.010000000000000009,average,ANImf,169
nanopore_D01-NF-R1_94.fa,169_2,0.010000000000000009,average,ANImf,169
infinity_D03-NF-R1_3.fa,169_3,0.010000000000000009,average,ANImf,169
nanopore_D03-NF-R1_maxbin.023.fa,169_3,0.010000000000000009,average,ANImf,169
infinity_D09-NF-R1_81.fa,170_1,0.010000000000000009,average,ANImf,170
nanopore_D09-NF-R1_47_sub.fa,170_1,0.010000000000000009,average,ANImf,170
infinity_D04-NF-R1_maxbin.059_sub.fa,170_2,0.010000000000000009,average,ANImf,170
nanopore_D04-NF-R1_maxbin.025.fa,170_2,0.010000000000000009,average,ANImf,170
infinity_D05-NF-R1_maxbin.042.fa,170_3,0.010000000000000009,average,ANImf,170
nanopore_D05-NF-R1_maxbin.028.fa,170_3,0.010000000000000009,average,ANImf,170
infinity_D04-NF-R1_149.fa,171_1,0.010000000000000009,average,ANImf,171
nanopore_D04-NF-R1_bin.161.fa,171_1,0.010000000000000009,average,ANImf,171
infinity_D04-NF-R1_130.fa,172_1,0.010000000000000009,average,ANImf,172
nanopore_D04-NF-R1_maxbin.056.fa,172_1,0.010000000000000009,average,ANImf,172
infinity_D09-NF-R1_bin.142.fa,173_1,0.010000000000000009,average,ANImf,173
infinity_D10-NF-R1_110_sub.fa,173_2,0.010000000000000009,average,ANImf,173
infinity_D02-NF-R2_79_sub.fa,173_3,0.010000000000000009,average,ANImf,173
infinity_D07-NF-R1_91.fa,173_4,0.010000000000000009,average,ANImf,173
infinity_D09-NF-R1_80_sub.fa,174_0,0.010000000000000009,average,ANImf,174
infinity_D04-NF-R1_19.fa,175_0,0.010000000000000009,average,ANImf,175
infinity_D05-NF-R1_102.fa,176_0,0.010000000000000009,average,ANImf,176
infinity_D01-NF-R1_bin.93.fa,177_1,0.010000000000000009,average,ANImf,177
infinity_D06-NF-R1_bin.54.fa,177_1,0.010000000000000009,average,ANImf,177
infinity_D07-NF-R1_bin.101.fa,178_1,0.010000000000000009,average,ANImf,178
nanopore_D07-NF-R1_maxbin.056_sub.fa,178_1,0.010000000000000009,average,ANImf,178
infinity_D02-NF-R2_138.fa,179_1,0.010000000000000009,average,ANImf,179
infinity_D09-NF-R1_4.fa,179_1,0.010000000000000009,average,ANImf,179
nanopore_D02-NF-R2_127.fa,179_1,0.010000000000000009,average,ANImf,179
